algorithm,GOMP,GOMP_stderr,SMELT,SMELT_stderr
PARALLEL,12.411242,8.637465,10.508186,2.391642
FOR,3.333078,7.299758,2.766288,0.107254
PARALLEL FOR,12.393306,0.782604,10.558435,0.422690
BARRIER,3.216895,0.847697,2.812502,1.103386
CRITICAL,1.021213,0.203995,0.819006,0.036895
ATOMIC,0.082791,0.002454,0.080684,0.002625
REDUCTION,12.827638,1.290739,11.340026,0.432810
SINGLE,5.266159,0.601393,3.951447,0.414327
PRIVATE,1.302250,5.230337,1.052814,0.042414
FIRSTPRIVATE,6.959690,2.792307,7.260422,7.423530
COPYPRIVATE,18.123748,2.200638,9.528338,0.556141
COPYIN,9.130889,0.646620,9.024665,0.582996
