# src_core	dest_core	cost	stderr
0	0	-1	0
1	0	294.73015873	20.2713390206
2	0	277.031746032	19.7186305056
3	0	286.206349206	23.4400002236
4	0	292.476190476	21.7823702872
5	0	287.857142857	23.4682204186
6	0	316.53968254	18.0579537915
7	0	301.666666667	13.1402688963
8	0	81.380952381	14.3774830252
9	0	300.777777778	9.44061547033
10	0	306.952380952	20.1993466588
11	0	306.380952381	13.6514765425
12	0	309.333333333	15.9712042464
13	0	312.095238095	17.7805978489
14	0	299.80952381	18.4346612308
15	0	311.73015873	20.3299812609
16	0	303.015873016	15.2466411222
17	0	306.349206349	13.8588791436
18	0	310.587301587	16.0659700705
19	0	316.555555556	17.3852498855
20	0	322.793650794	19.2553094967
21	0	316.746031746	15.7510072784
22	0	314.253968254	18.1850874314
23	0	313.825396825	17.8925715565
24	0	290.396825397	11.2398662402
25	0	308.317460317	13.7584899006
26	0	298.46031746	16.3025223453
27	0	301.857142857	19.2104941087
28	0	290.412698413	16.4197277017
29	0	298.698412698	16.4708833242
30	0	323.031746032	17.4200835144
31	0	321.936507937	20.0213164306
32	0	321.142857143	19.1467657701
33	0	316.253968254	18.6606863328
34	0	324.142857143	21.0108491574
35	0	316.126984127	22.1434658846
36	0	302.698412698	15.9936841906
37	0	301.952380952	13.5288387698
38	0	304.936507937	16.7898996621
39	0	305.079365079	8.04018002503
40	0	303.46031746	19.7434541267
41	0	294.507936508	21.2766158366
42	0	315.095238095	13.6308640047
43	0	310.873015873	14.070674292
44	0	320.888888889	13.8025890269
45	0	318.26984127	11.8525415521
46	0	315.444444444	17.2790154204
47	0	313.73015873	12.5927748864
0	1	296.0	9.89628758356
1	1	-1	0
2	1	281.206349206	10.6698785792
3	1	286.53968254	21.1448709656
4	1	292.047619048	8.39392934725
5	1	288.126984127	13.0475224961
6	1	310.888888889	11.4283289216
7	1	309.349206349	12.5231959131
8	1	83.9682539683	13.4400116378
9	1	305.984126984	11.8729946524
10	1	305.0	9.96661092515
11	1	304.920634921	11.5721361945
12	1	308.777777778	18.8481353079
13	1	306.523809524	17.6562027797
14	1	311.380952381	19.6851636756
15	1	312.857142857	19.0295152061
16	1	313.698412698	16.4737741752
17	1	310.26984127	10.7514581502
18	1	315.73015873	15.9873028481
19	1	322.650793651	19.2371653607
20	1	318.111111111	18.6250480865
21	1	314.952380952	14.8659924804
22	1	315.952380952	19.9645945116
23	1	321.666666667	19.0413084784
24	1	293.682539683	10.5346373467
25	1	305.714285714	14.1032795594
26	1	299.111111111	11.5416583099
27	1	295.476190476	14.087996853
28	1	301.619047619	14.2688789689
29	1	305.349206349	11.4782869279
30	1	322.46031746	19.6564343008
31	1	317.555555556	18.8862743289
32	1	321.031746032	17.6302123928
33	1	327.746031746	18.5540550943
34	1	319.238095238	22.804701747
35	1	321.428571429	19.0785463205
36	1	298.174603175	13.5547563052
37	1	308.698412698	12.6724735069
38	1	298.888888889	15.6206122587
39	1	296.682539683	11.1665961573
