# src_core	dest_core	cost	stderr
0	1	7.8064516129	8.51344043581
0	2	76.5079365079	16.4460377974
0	3	76.380952381	15.6746976087
0	4	80.0	19.9555060628
0	5	81.3333333333	18.2817456011
0	6	81.9047619048	21.426666582
0	7	76.6984126984	16.4158604304
0	8	413.015873016	13.6527130434
0	9	418.222222222	15.7242552951
0	10	410.349206349	19.2907237599
0	11	415.619047619	12.6834832873
0	12	412.19047619	24.1732221932
0	13	415.111111111	14.7175644024
0	14	411.873015873	16.8499371799
0	15	417.650793651	17.0844389702
1	0	10.2903225806	7.7883020154
1	2	82.619047619	17.055863928
1	3	83.253968254	17.2947998919
1	4	84.0793650794	18.1871239882
1	5	83.7619047619	19.0951787198
1	6	90.2380952381	19.697485365
1	7	89.6031746032	21.2517335857
1	8	420.26984127	18.7457562175
1	9	413.73015873	23.2346254674
1	10	415.444444444	23.401110934
1	11	419.444444444	20.9744953041
1	12	416.587301587	21.3159415124
1	13	418.365079365	21.4781554492
1	14	417.73015873	21.0194213664
1	15	416.142857143	17.5072385418
2	0	79.3968253968	18.5185789871
2	1	85.4285714286	18.5007200938
2	3	10.9491525424	9.05992054594
2	4	82.9523809524	16.3720906262
2	5	78.5079365079	17.738732633
2	6	79.2698412698	15.917651527
2	7	86.8888888889	19.666352791
2	8	411.714285714	19.7471545641
2	9	413.301587302	21.0642516101
2	10	408.349206349	27.1071704508
2	11	419.142857143	16.1332321355
2	12	416.031746032	16.0455386214
2	13	414.063492063	21.3748650907
2	14	410.0	23.5729196258
2	15	413.746031746	21.8842323857
3	0	81.2380952381	16.6663945556
3	1	88.0952380952	20.0299096082
3	2	17.1612903226	12.2371638454
3	4	84.3492063492	19.01224228
3	5	84.6031746032	20.335706093
3	6	89.0476190476	21.1625819616
3	7	92.7936507937	19.5782181609
3	8	416.476190476	17.0367084
3	9	416.222222222	19.7093519374
3	10	417.365079365	14.8166589933
3	11	415.523809524	18.5496820174
3	12	412.095238095	19.8131864746
3	13	414.0	22.8396758657
3	14	413.301587302	20.6871134803
3	15	412.666666667	22.0014429541
4	0	81.1111111111	19.4586342782
4	1	79.7777777778	16.0756588593
4	2	86.6349206349	20.7565645285
4	3	85.0476190476	18.3885994456
4	5	8.46666666667	7.59268653962
4	6	91.1428571429	20.4262957995
4	7	83.3333333333	19.7765292989
4	8	411.46031746	32.4359321608
4	9	416.793650794	14.9604332445
4	10	413.555555556	15.1874820821
4	11	417.238095238	17.3092454291
4	12	413.301587302	20.9917859375
4	13	421.746031746	16.3900553027
4	14	412.285714286	17.1301540236
4	15	417.428571429	19.0018497727
5	0	89.873015873	20.667812613
5	1	94.253968254	21.8842323857
5	2	82.6349206349	18.4367658798
5	3	87.2698412698	20.2439145073
5	4	9.05084745763	8.14575636386
5	6	83.1428571429	16.6903233469
5	7	83.5238095238	19.11606749
5	8	413.174603175	15.1380312433
5	9	415.777777778	16.0281938545
5	10	417.873015873	14.4128382624
5	11	418.063492063	23.3291649446
5	12	416.53968254	17.7073434653
5	13	411.650793651	22.1468108207
5	14	416.222222222	19.7993461848
5	15	415.142857143	22.3726428343
6	0	78.1428571429	17.4782015192
6	1	85.126984127	19.1365121497
6	2	82.2063492063	20.2791305112
6	3	84.4285714286	20.6172329565
6	4	81.253968254	18.9082733668
6	5	86.4603174603	22.6308017357
6	7	13.4590163934	12.3998595583
6	8	412.174603175	21.4420886232
6	9	415.412698413	13.3626284372
6	10	415.53968254	18.6979545582
6	11	414.079365079	18.8050158686
6	12	411.285714286	23.0908685115
6	13	415.73015873	21.8022907994
6	14	410.968253968	21.331821564
6	15	421.0	26.0109866897
7	0	87.6031746032	18.2839505322
7	1	81.9523809524	18.9999403269
7	2	79.6031746032	16.4099656931
7	3	82.7777777778	19.0675028492
7	4	84.619047619	20.7750067877
7	5	76.2380952381	16.2184632056
7	6	8.64285714286	9.358778483
7	8	411.53968254	20.3624501884
7	9	413.253968254	15.4652382899
7	10	414.333333333	20.107646812
7	11	414.650793651	19.1453577034
7	12	414.142857143	21.2549580717
7	13	417.317460317	16.5968302547
7	14	414.523809524	23.8665982593
7	15	414.523809524	14.7345368425
8	0	291.603174603	6.21963016953
8	1	291.412698413	6.96621078626
8	2	292.174603175	9.18684304644
8	3	292.492063492	8.44754687012
8	4	291.73015873	7.50281714119
8	5	291.53968254	10.0614388772
8	6	291.920634921	10.5759559398
8	7	293.825396825	9.10353094333
8	9	15.1639344262	9.81330700408
8	10	87.6031746032	19.5850118288
8	11	80.873015873	16.0153617361
8	12	88.5555555556	20.8652348343
8	13	86.7777777778	18.2647587155
8	14	87.2857142857	18.1242874596
8	15	89.5079365079	20.439514342
9	0	278.380952381	8.27201933357
9	1	285.682539683	12.4732417049
9	2	287.968253968	12.1967576409
9	3	285.746031746	11.9655169284
9	4	289.365079365	7.71578795224
9	5	287.26984127	10.0241080024
9	6	286.571428571	9.92306002105
9	7	288.349206349	9.55212721286
9	8	14.3225806452	10.2182224853
9	10	91.3333333333	20.383622433
9	11	93.873015873	19.9296318139
9	12	86.0	20.1581052272
9	13	79.9047619048	18.0560980208
9	14	84.4126984127	20.1270842719
9	15	85.9365079365	19.0903225013
10	0	278.380952381	8.21038554752
10	1	287.587301587	11.3033706458
10	2	291.396825397	8.79130104415
10	3	288.222222222	9.06492357972
10	4	287.841269841	11.6199149646
10	5	284.984126984	15.5159846543
10	6	283.714285714	14.4083623993
10	7	286.0	11.0869578749
10	8	86.5079365079	20.4891554869
10	9	92.7301587302	20.1559053139
10	11	11.5593220339	9.90851574587
10	12	83.8412698413	18.7186405262
10	13	80.3492063492	18.0810860839
10	14	85.5555555556	18.1438500471
10	15	83.5873015873	18.0093757951
11	0	277.238095238	10.1006274922
11	1	287.714285714	10.7547384484
11	2	289.301587302	6.47494541409
11	3	289.047619048	8.42413119524
11	4	291.587301587	8.85981640255
11	5	286.317460317	13.1858815752
11	6	288.793650794	12.4596602799
11	7	291.206349206	9.4988031496
11	8	86.253968254	19.7234597676
11	9	83.8412698413	18.2515112218
11	10	14.9836065574	11.4669758234
11	12	88.2222222222	19.8761598
11	13	85.1746031746	20.1222767516
11	14	92.4761904762	20.7959528594
11	15	86.5079365079	17.9380530308
12	0	290.952380952	7.53284568887
12	1	288.857142857	14.4033253908
12	2	288.158730159	6.20600413119
12	3	288.285714286	9.76457570893
12	4	285.492063492	14.0654626159
12	5	289.80952381	8.26324265276
12	6	287.841269841	9.12211050003
12	7	285.238095238	11.1294180251
12	8	77.1746031746	14.4161942477
12	9	88.7936507937	22.3522725169
12	10	83.9682539683	19.3333072693
12	11	80.8571428571	17.7234999077
12	13	14.1290322581	11.1521499026
12	14	82.0634920635	17.3624965434
12	15	76.3492063492	13.9774861265
13	0	286.571428571	10.8521291682
13	1	284.603174603	12.5919345344
13	2	287.46031746	9.75383587031
13	3	287.777777778	12.5032623609
13	4	288.53968254	13.9714282108
13	5	289.365079365	8.70559314337
13	6	290.571428571	9.17850194526
13	7	287.079365079	11.8660534717
13	8	85.1746031746	20.2104323859
13	9	93.2380952381	21.9304197556
13	10	87.3968253968	20.1978622808
13	11	83.2063492063	18.2905637309
13	12	11.5081967213	9.36443034918
13	14	86.6984126984	19.3289280044
13	15	81.746031746	18.7870001102
14	0	289.650793651	12.8411030656
14	1	291.365079365	11.2282263187
14	2	292.253968254	8.36843702379
14	3	289.714285714	14.3022126953
14	4	294.349206349	7.3250141777
14	5	292.825396825	11.4289241568
14	6	297.46031746	10.6738449014
14	7	290.158730159	11.2873104044
14	8	87.1111111111	20.2265824708
14	9	86.1587301587	18.82686897
14	10	80.6984126984	16.4622077254
14	11	82.0952380952	19.5031249313
14	12	85.7142857143	19.2785995107
14	13	82.3492063492	17.0844389702
14	15	10.6451612903	7.93338550804
15	0	279.587301587	6.81882296931
15	1	286.825396825	12.8118740591
15	2	288.476190476	10.5331783335
15	3	288.920634921	9.46053051853
15	4	288.857142857	7.38694073511
15	5	286.571428571	11.8156666052
15	6	288.603174603	7.58138841106
15	7	288.793650794	9.76251127294
15	8	83.9682539683	20.1060428838
15	9	89.619047619	21.0180788177
15	10	81.2380952381	19.8003641827
15	11	89.2380952381	20.0932068484
15	12	81.4920634921	18.177146838
15	13	88.0317460317	20.3820402222
15	14	13.9344262295	10.3826287023
