# src_core	dest_core	cost	stderr
0	0	-1	0
1	0	257.095238095	11.4610649187
2	0	247.698412698	5.03522487521
3	0	252.333333333	10.5634890821
4	0	258.571428571	10.3213667818
5	0	261.46031746	10.5105017729
6	0	320.698412698	10.6363183161
7	0	315.777777778	26.7809719494
8	0	315.746031746	20.8995847562
9	0	330.952380952	8.83253108923
10	0	316.031746032	21.1817293642
11	0	319.174603175	19.040091105
12	0	274.126984127	8.80204172471
13	0	284.634920635	24.487315529
14	0	286.238095238	25.6970841936
15	0	271.984126984	6.73180572839
16	0	287.587301587	28.6636958154
17	0	275.095238095	7.78218210251
18	0	339.19047619	6.05754715632
19	0	344.555555556	7.84123770959
20	0	347.444444444	2.96956935458
21	0	340.126984127	7.83053052895
22	0	343.619047619	6.03279021872
23	0	346.555555556	4.23056819246
0	1	259.412698413	10.2021393969
1	1	-1	0
2	1	261.333333333	27.6043474837
3	1	259.317460317	9.58806367201
4	1	256.952380952	9.29998902786
5	1	255.952380952	11.4398753621
6	1	331.206349206	10.3956015274
7	1	316.206349206	25.6652187162
8	1	319.063492063	30.3706588855
9	1	329.873015873	12.0178333936
10	1	320.238095238	19.4892842236
11	1	320.793650794	22.2433572964
12	1	275.936507937	12.5494235824
13	1	289.031746032	26.2660189997
14	1	276.634920635	7.88468796838
15	1	276.857142857	9.18911907078
16	1	278.365079365	6.439712079
17	1	280.301587302	7.62958926818
18	1	343.349206349	7.54070168551
19	1	350.571428571	10.3182905649
20	1	340.619047619	5.34946539809
21	1	345.142857143	7.69220826728
22	1	352.904761905	12.0194475822
23	1	352.0	8.28461952264
0	2	279.031746032	14.2894880377
1	2	277.793650794	14.8539543451
2	2	-1	0
3	2	265.031746032	10.5258084242
4	2	273.650793651	15.7259857037
5	2	270.650793651	13.0203244421
6	2	322.238095238	27.229019467
7	2	296.968253968	12.8532229964
8	2	296.063492063	16.8568887674
9	2	331.984126984	18.7163387271
10	2	294.428571429	14.7106637552
11	2	301.158730159	13.3061703663
12	2	297.873015873	13.6550380998
13	2	291.714285714	12.2544822657
14	2	302.888888889	14.124290808
15	2	294.80952381	10.9788500032
16	2	296.714285714	13.0304022662
17	2	300.603174603	15.1359339936
18	2	336.841269841	16.1895580194
19	2	338.825396825	15.8910373886
20	2	353.904761905	3.33197251134
21	2	339.53968254	15.0331120212
22	2	341.158730159	16.5262718687
23	2	340.19047619	6.45585041146
0	3	249.238095238	4.88832196259
1	3	255.968253968	7.72127190355
2	3	250.746031746	5.46552907434
3	3	-1	0
4	3	254.015873016	21.6681260047
5	3	248.904761905	6.54341856606
6	3	334.984126984	14.12134719
7	3	332.238095238	12.5441623503
8	3	330.888888889	11.8282834444
9	3	327.666666667	24.9863454774
10	3	323.285714286	10.8794674406
11	3	334.095238095	12.311711144
12	3	303.603174603	34.2537402349
13	3	305.920634921	34.5356046262
14	3	274.285714286	6.4866861729
15	3	276.111111111	3.51464559893
16	3	285.047619048	28.2103372765
17	3	274.80952381	5.01381311932
18	3	346.095238095	5.43274693217
19	3	347.634920635	6.63875487298
20	3	352.095238095	9.63247530487
21	3	344.19047619	5.93043573671
22	3	348.73015873	7.71764901534
23	3	339.746031746	5.36587765264
0	4	249.396825397	6.94316995108
1	4	261.555555556	9.70644979117
2	4	250.984126984	5.99336157494
3	4	268.428571429	31.8721226081
4	4	-1	0
5	4	251.46031746	7.90584553037
6	4	330.53968254	22.4794971113
7	4	334.126984127	16.0094139602
8	4	331.238095238	10.9945358517
9	4	332.111111111	20.4699633696
10	4	324.412698413	10.9944212703
11	4	329.873015873	13.8638413599
12	4	273.80952381	5.97044876901
13	4	265.777777778	5.99853009626
14	4	272.857142857	5.65925886352
15	4	298.555555556	33.5614942711
16	4	270.015873016	5.5762878461
17	4	285.476190476	27.0911788741
18	4	341.952380952	6.33064747918
19	4	347.714285714	7.23402140995
20	4	351.031746032	5.95743700609
21	4	341.365079365	4.82487465846
22	4	350.079365079	4.92258026062
23	4	340.587301587	5.29640465244
0	5	249.825396825	8.54593504509
1	5	251.19047619	8.40041031284
2	5	248.984126984	19.6343496087
3	5	246.968253968	19.5236675695
4	5	251.380952381	17.6378278289
5	5	-1	0
6	5	328.285714286	21.2874719632
7	5	321.238095238	15.5733943713
8	5	323.523809524	17.753923906
9	5	328.031746032	18.4476679422
10	5	326.666666667	11.4946502394
11	5	334.079365079	15.5556365401
12	5	270.349206349	6.84791413071
13	5	308.285714286	34.1004252505
14	5	268.523809524	7.53374870928
15	5	317.476190476	30.7002182624
16	5	275.412698413	17.0746585832
17	5	271.888888889	6.50301788576
18	5	341.650793651	4.08310001339
19	5	354.444444444	6.90244442043
20	5	341.206349206	6.21099570311
21	5	346.126984127	4.85828392033
22	5	352.126984127	8.89888893277
23	5	354.095238095	5.83833604724
0	6	411.031746032	8.49270135566
1	6	411.0	6.05005575207
2	6	404.126984127	5.73070832347
3	6	404.031746032	5.40125868331
4	6	409.73015873	50.7371709797
5	6	401.301587302	6.76741708397
6	6	-1	0
7	6	307.714285714	3.57428457234
8	6	309.031746032	6.58031758284
9	6	318.80952381	8.95111439875
10	6	306.968253968	4.76417935094
11	6	312.619047619	4.58925097263
12	6	446.412698413	5.00360162548
13	6	434.079365079	3.34427531382
14	6	438.53968254	6.12262366426
15	6	431.317460317	5.98629492118
16	6	444.555555556	3.83706972264
17	6	438.063492063	4.83660977904
18	6	315.238095238	5.20596204523
19	6	325.19047619	4.29047354791
20	6	322.365079365	4.32527304323
21	6	314.857142857	4.44314039826
22	6	321.761904762	3.04836300443
23	6	317.015873016	5.12848275311
0	7	405.714285714	16.3021359701
1	7	414.26984127	8.9375369449
2	7	408.111111111	6.60714166547
3	7	400.26984127	6.95383039178
4	7	408.634920635	25.1555803947
