# src_core	dest_core	cost	stderr
0	0	-1	0
1	0	244.904761905	6.08071185712
2	0	242.666666667	4.77094380201
3	0	245.825396825	7.10363127024
4	0	245.031746032	5.7789114534
5	0	247.365079365	7.32532373693
6	0	283.206349206	5.28897844776
7	0	286.492063492	6.52680192445
8	0	287.968253968	6.83122674606
9	0	289.53968254	8.55017942228
10	0	285.031746032	5.98402172448
11	0	285.777777778	6.44745414121
12	0	287.555555556	6.35654337978
13	0	284.841269841	7.65777196078
14	0	286.476190476	8.6664050196
15	0	289.492063492	9.06217153252
16	0	287.015873016	8.16980904265
17	0	284.111111111	6.89861065173
18	0	297.73015873	10.8762247611
19	0	301.904761905	12.1938239451
20	0	298.793650794	11.5059111518
21	0	297.063492063	8.36446189101
22	0	300.492063492	11.4543580337
23	0	299.936507937	11.4917127018
24	0	248.253968254	7.12021101428
25	0	254.984126984	9.04923405246
26	0	250.253968254	7.68624467922
27	0	247.031746032	5.76791413418
28	0	253.968253968	7.96214905577
29	0	247.619047619	4.8154136496
30	0	334.015873016	9.20057290054
31	0	331.492063492	8.84769365674
32	0	330.619047619	8.22969569039
33	0	330.047619048	8.44107224707
34	0	329.111111111	6.85938381959
35	0	329.936507937	10.2102858438
36	0	289.142857143	9.90727989972
37	0	289.365079365	8.35958073548
38	0	292.936507937	9.45645494815
39	0	290.015873016	8.44495164964
40	0	291.936507937	7.76821569648
41	0	292.142857143	9.58646059593
42	0	328.238095238	8.04888691055
43	0	331.952380952	10.4675288869
44	0	334.095238095	8.19352102872
45	0	329.968253968	8.30942905602
46	0	331.111111111	7.3702773119
47	0	332.301587302	9.23697696826
0	1	245.682539683	6.41383771115
1	1	-1	0
2	1	243.063492063	6.22048080588
3	1	242.698412698	27.0980787233
4	1	245.952380952	6.16294243121
5	1	246.523809524	6.34674555487
6	1	285.174603175	7.1548400369
7	1	285.634920635	7.07623249078
8	1	287.412698413	7.39075982655
9	1	285.746031746	6.16690669795
10	1	284.825396825	6.59374326459
11	1	287.365079365	8.61762974686
12	1	287.587301587	9.16278692032
13	1	287.396825397	7.06104826639
14	1	285.111111111	7.92847212229
15	1	289.507936508	9.53834869052
16	1	285.396825397	8.14265602029
17	1	282.349206349	5.86666323095
18	1	299.26984127	11.0125561083
19	1	300.079365079	8.54177704886
20	1	300.063492063	10.8713589283
21	1	294.857142857	7.18432407897
22	1	298.904761905	9.65222942536
23	1	298.571428571	11.0104053033
24	1	249.428571429	6.34638826349
25	1	250.015873016	5.74454071683
26	1	251.238095238	6.88848656568
27	1	248.428571429	5.70912465343
28	1	251.428571429	7.61934523228
29	1	246.317460317	5.29097883591
30	1	329.015873016	8.28939284638
31	1	330.53968254	8.17045664599
32	1	330.0	7.7888809637
33	1	329.301587302	8.36780474262
34	1	330.111111111	6.97867752767
35	1	328.53968254	7.56731777527
36	1	286.53968254	8.84940209051
37	1	290.206349206	8.10674563354
38	1	290.634920635	8.38801410044
39	1	292.761904762	9.4696076681
40	1	288.587301587	7.88334575784
41	1	290.523809524	7.46389647348
42	1	330.0	9.3384339804
43	1	333.047619048	8.48982317282
44	1	335.619047619	7.73864466914
45	1	328.587301587	8.83649524835
46	1	329.634920635	6.9745605478
47	1	332.46031746	7.73740737683
0	2	243.746031746	5.51180048355
1	2	244.095238095	5.26357439574
2	2	-1	0
3	2	246.238095238	5.95409499131
4	2	245.936507937	5.95451813484
5	2	245.873015873	4.92641749319
6	2	285.174603175	7.45044940061
7	2	280.746031746	35.807230029
8	2	288.666666667	6.45865974598
9	2	285.714285714	6.42027683582
10	2	283.063492063	6.76562979594
11	2	285.063492063	8.28437622231
12	2	287.365079365	9.36101606767
13	2	280.380952381	35.9043829713
14	2	285.53968254	8.72294073907
15	2	287.349206349	8.576747321
