# core	nvalues	median	mean	stddev	min	max
1	90	292.0	291.422222222	23.986096796	135	366
2	90	294.0	295.233333333	25.644167628	124	364
3	90	287.0	287.277777778	21.8942040924	138	333
4	90	296.5	295.377777778	25.0366743344	110	340
5	90	308.0	308.188888889	26.0234485905	137	355
6	90	438.0	434.944444444	20.7318119008	301	473
7	90	427.0	423.877777778	23.8191462566	289	478
8	90	429.5	426.3	25.4904993195	355	470
9	90	428.5	426.022222222	23.6144860333	290	466
10	90	441.0	439.977777778	20.7878050671	310	483
11	90	435.5	432.911111111	28.3108320237	286	489
12	90	435.0	437.077777778	28.342440802	351	503
13	90	435.0	431.5	27.9595938613	306	483
14	90	446.0	444.8	27.5746260174	323	508
15	90	450.5	443.444444444	27.9348890224	315	489
16	90	436.5	434.666666667	29.5477015463	308	523
17	90	436.0	434.711111111	27.2825725589	385	520
18	90	552.5	547.722222222	22.5452768041	449	593
19	90	549.5	540.566666667	28.7185770307	471	588
20	90	545.0	536.922222222	28.0912116656	467	577
21	90	543.0	539.188888889	27.9145101434	466	610
22	90	546.0	540.644444444	21.9414934725	466	577
23	90	547.5	541.111111111	26.3440671982	473	610
24	90	418.5	417.322222222	20.7315260615	345	464
25	90	413.0	411.177777778	22.4784231247	310	455
26	90	407.0	403.533333333	25.4209887036	304	444
27	90	416.0	413.555555556	20.0000617283	302	458
28	90	417.0	414.922222222	18.663825842	328	446
29	90	415.0	411.822222222	23.3345608143	294	449
30	90	583.0	579.311111111	25.2941119387	458	623
31	90	585.0	578.0	27.3138141687	481	621
32	90	588.0	581.733333333	28.0062691394	498	653
33	90	588.5	582.033333333	25.3462467088	482	630
34	90	586.0	577.511111111	27.5980049377	468	615
35	90	590.5	584.877777778	22.3098522221	509	625
36	90	448.0	442.244444444	23.8133067894	326	491
37	90	433.0	429.455555556	24.1859284668	300	477
38	90	449.5	444.177777778	27.1725260666	330	500
39	90	445.5	440.733333333	27.0537736123	308	481
40	90	440.5	438.288888889	25.0431824586	325	481
41	90	434.0	428.4	26.9731553792	297	479
42	90	586.0	577.922222222	31.2186652778	489	629
43	90	583.0	580.111111111	29.2223067172	452	636
44	90	578.0	573.855555556	29.5708419116	498	643
45	90	582.0	578.344444444	28.7526466844	471	648
46	90	576.0	574.811111111	24.6228865735	517	633
47	90	581.5	577.411111111	25.1232050523	508	644
0	90	299.0	299.655555556	26.4227011451	125	350
2	90	309.0	312.466666667	22.7059463577	267	366
3	90	301.0	299.488888889	21.1340927542	238	360
4	90	307.0	306.122222222	26.0729011205	118	353
5	90	296.0	295.822222222	20.5915720504	253	361
6	90	440.5	435.488888889	26.803086242	376	500
7	90	443.0	437.833333333	29.1453255257	315	487
8	90	445.0	439.622222222	22.8115846679	372	480
9	90	443.0	438.822222222	25.3331481475	294	476
10	90	429.5	427.111111111	19.5967369418	372	467
11	90	447.0	446.466666667	19.1631590993	381	484
12	90	452.0	446.122222222	27.1521751851	377	491
13	90	448.0	441.4	23.6839373603	374	490
14	90	445.5	443.6	26.8873369616	383	513
15	90	440.0	438.855555556	26.0254410193	379	498
16	90	452.0	448.677777778	29.5002176179	326	499
17	90	444.0	441.544444444	23.7426765837	379	495
18	90	544.5	540.577777778	24.1214417193	473	587
19	90	551.5	544.733333333	32.5541600004	482	631
20	90	550.5	548.788888889	29.4552370158	481	613
21	90	557.5	548.688888889	28.3049443833	478	608
22	90	548.0	542.4	25.2827565304	482	605
23	90	553.0	544.266666667	31.4641948182	478	625
24	90	423.0	419.9	27.0341553513	343	482
25	90	423.0	418.233333333	21.289042565	360	455
26	90	418.0	415.077777778	23.9050100643	356	467
27	90	420.5	417.633333333	25.1314101828	355	467
28	90	412.5	412.488888889	24.7005373061	354	477
29	90	412.5	414.222222222	30.2455792097	362	514
30	90	583.0	575.888888889	30.531384379	505	659
31	90	587.0	577.066666667	31.2849981798	514	647
32	90	580.0	580.722222222	24.6711832702	524	637
33	90	580.5	575.422222222	30.1890258861	506	651
34	90	588.5	580.977777778	29.250252716	508	623
35	90	585.5	583.222222222	30.7541425494	486	648
36	90	455.5	454.277777778	25.4789794745	393	512
37	90	451.5	447.411111111	24.3319152301	373	499
38	90	454.5	453.4	25.7663863719	369	509
39	90	452.0	451.455555556	25.7462666597	394	506
40	90	455.5	452.944444444	24.9374154907	344	517
41	90	455.5	455.3	28.8156786027	334	532
42	90	576.0	580.844444444	28.7622094311	528	669
43	90	585.5	577.555555556	30.9695589288	512	665
44	90	582.0	578.633333333	24.6529015646	513	633
45	90	576.0	570.244444444	29.8817339639	514	632
46	90	585.5	582.711111111	23.1224971952	518	643
47	90	586.0	576.111111111	28.8114346299	506	626
0	90	309.0	312.155555556	17.5941348252	281	371
1	90	311.5	313.188888889	17.3857505155	270	364
3	90	298.5	299.533333333	21.3724641121	252	350
4	90	303.5	304.777777778	21.2366443142	261	372
5	90	311.5	312.422222222	17.9851653548	273	356
6	90	441.0	436.744444444	22.2803157324	376	474
7	90	454.0	449.077777778	25.8853144886	394	511
8	90	433.0	435.222222222	18.7407919777	384	482
9	90	449.5	444.288888889	27.0757145979	379	502
10	90	445.5	442.3	23.5378890774	387	510
11	90	443.0	442.555555556	24.1491251791	393	497
12	90	456.0	448.3	29.2887729723	358	495
13	90	447.5	443.844444444	25.648006685	381	496
14	90	445.5	448.055555556	27.5928175482	384	510
15	90	453.0	448.933333333	29.8059651002	382	523
16	90	446.5	445.711111111	24.7818232871	396	491
17	90	452.0	448.122222222	26.2982161532	377	500
18	90	540.0	536.566666667	31.8294238437	472	605
19	90	536.5	531.788888889	31.033850495	468	601
20	90	553.0	549.655555556	28.269795861	487	612
21	90	549.0	542.1	29.8343761456	477	621
22	90	553.0	548.444444444	34.1500320843	480	624
23	90	555.0	546.244444444	30.8740491931	472	614
24	90	424.5	419.855555556	24.8987108596	356	467
25	90	426.5	420.033333333	27.5860069198	352	482
26	90	414.0	412.5	24.9849954973	351	479
27	90	410.5	411.788888889	24.9641941119	361	473
28	90	423.5	418.9	24.2180144154	359	477
29	90	425.0	419.711111111	26.2370579501	351	471
30	90	585.0	577.266666667	33.7193646968	512	647
31	90	586.0	582.344444444	30.2571060932	518	637
32	90	585.5	585.277777778	30.5352356677	457	660
33	90	585.5	578.333333333	32.1921315438	513	647
34	90	593.0	590.0	32.9093029738	494	655
35	90	589.0	585.544444444	28.6651786866	523	645
36	90	459.0	457.166666667	29.8724138816	339	526
37	90	457.5	455.822222222	23.1567498093	400	512
38	90	468.0	463.888888889	25.369029432	390	511
39	90	459.5	456.711111111	25.9727397453	393	510
40	90	460.5	458.8	26.5611244742	401	523
41	90	464.0	459.388888889	26.6886136539	403	533
42	90	589.0	582.3	29.2580283379	516	652
43	90	588.0	579.655555556	29.7209843979	511	635
44	90	578.0	575.3	24.7329964038	519	625
45	90	580.0	575.888888889	28.6927960159	507	630
46	90	585.0	577.688888889	31.0553786519	500	640
47	90	581.5	577.555555556	30.6344436183	512	631
0	90	282.5	282.711111111	25.4930249478	106	341
1	90	283.0	287.888888889	26.3056582187	239	355
2	90	291.0	293.933333333	13.9457679761	279	359
4	90	286.0	287.177777778	22.0275472876	121	357
5	90	286.0	287.677777778	20.875731672	123	340
6	90	412.0	412.844444444	15.8120285515	363	462
7	90	418.5	418.355555556	15.8656239931	383	466
8	90	433.0	430.977777778	13.9020204589	385	473
9	90	424.0	422.966666667	16.2490683494	372	473
10	90	434.5	433.933333333	16.255460621	373	472
11	90	428.0	428.544444444	14.9912278877	377	465
12	90	433.0	429.866666667	17.8027463549	360	463
13	90	435.0	433.1	16.5382049274	378	469
14	90	428.0	424.511111111	15.224428064	365	453
15	90	439.0	435.755555556	24.9137673279	243	476
16	90	427.0	423.911111111	20.6223419537	356	474
17	90	422.5	421.022222222	20.9411756954	362	482
18	90	542.0	542.522222222	13.4587664762	494	579
19	90	542.0	538.744444444	17.3272817071	482	571
20	90	525.0	525.288888889	22.8459791962	472	599
21	90	541.0	537.455555556	16.6120178125	472	578
22	90	534.0	535.255555556	19.2437932915	477	608
23	90	531.0	527.788888889	17.4416452107	476	560
24	90	391.5	393.0	16.6553294774	357	444
25	90	407.5	409.011111111	13.3695295724	358	452
26	90	405.5	403.933333333	17.8815858109	344	443
27	90	411.0	410.166666667	16.6641664791	318	443
28	90	407.0	406.122222222	16.7470247957	333	435
29	90	412.0	409.411111111	23.4178917565	351	451
30	90	578.0	575.988888889	16.9072597454	526	611
31	90	583.0	579.411111111	22.3501898796	516	626
32	90	581.5	580.811111111	21.3254644052	476	637
33	90	575.0	571.966666667	26.2312155011	515	636
34	90	584.5	581.933333333	20.7304392407	511	627
35	90	582.0	578.622222222	22.1888749791	508	622
36	90	443.0	443.022222222	15.6034026045	373	488
37	90	441.0	438.855555556	19.6630285398	376	474
38	90	428.5	427.266666667	21.1286009423	357	499
39	90	440.0	439.7	16.9433369401	375	485
40	90	430.0	431.144444444	27.9076099184	373	486
41	90	434.0	433.344444444	15.6958317971	384	481
42	90	577.5	573.333333333	27.1444694592	516	630
43	90	572.0	571.211111111	23.9858728998	495	627
44	90	563.0	561.522222222	21.4839618619	498	613
45	90	570.0	570.433333333	15.430885335	506	607
46	90	574.5	575.066666667	16.4653170837	507	625
47	90	571.0	572.211111111	16.5975195231	494	608
0	90	299.0	303.455555556	20.784695818	265	353
1	90	313.0	310.055555556	24.8217472351	158	350
2	90	303.0	304.977777778	19.7489677805	257	384
3	90	303.0	304.844444444	24.8966356991	138	354
5	90	309.0	310.477777778	17.6019113721	253	367
6	90	436.5	436.1	28.730181575	371	505
7	90	446.5	444.322222222	23.8955262097	388	502
8	90	432.0	429.688888889	24.9842814783	368	492
9	90	446.5	444.911111111	21.8995912922	380	489
10	90	446.5	445.411111111	17.5745361528	393	495
11	90	447.5	446.5	20.1815372171	370	489
12	90	436.0	435.2	25.5152242135	375	486
13	90	451.0	444.588888889	23.3889311164	368	478
14	90	450.5	449.444444444	22.94830476	401	510
15	90	448.0	446.577777778	23.2350203968	377	509
16	90	446.0	447.155555556	25.8250141921	379	523
17	90	452.0	448.288888889	24.3539841342	354	495
18	90	556.5	548.1	28.4386474127	484	603
19	90	547.5	540.677777778	25.7020655364	486	588
20	90	546.0	543.8	28.9198893497	486	616
21	90	545.5	539.911111111	26.6727678206	476	593
22	90	544.0	539.822222222	26.7376462763	475	595
23	90	545.0	538.266666667	30.1922727421	468	617
24	90	409.5	405.833333333	23.547233855	345	457
25	90	413.0	408.088888889	25.8317825102	341	462
26	90	428.0	423.433333333	27.4230438379	349	476
27	90	414.5	414.711111111	27.7341524096	345	473
28	90	423.0	419.2	28.8040120662	348	469
29	90	416.0	416.522222222	27.7889777421	303	475
30	90	586.5	579.377777778	30.4224251272	473	635
31	90	591.0	585.133333333	33.4900316844	512	705
32	90	588.5	583.511111111	30.4215729173	532	667
33	90	589.5	582.944444444	34.3195315661	488	662
34	90	582.0	574.833333333	28.579421501	506	645
35	90	581.0	579.611111111	26.5713690713	529	674
36	90	455.0	451.844444444	24.9892915337	389	503
37	90	458.0	456.944444444	26.3212466401	389	520
38	90	457.0	454.966666667	26.2638111815	390	506
39	90	459.5	454.188888889	27.0702355793	330	495
40	90	444.0	447.822222222	29.5076554202	396	560
41	90	449.5	446.511111111	27.0986856772	391	530
42	90	583.0	579.788888889	29.2538675295	523	647
43	90	583.5	575.722222222	27.7232464741	505	622
44	90	577.0	568.744444444	27.9581278626	490	644
45	90	578.5	576.466666667	25.3185044319	515	644
46	90	577.0	571.355555556	28.7326028952	504	647
47	90	586.5	583.633333333	25.8918477088	516	633
0	90	314.0	313.133333333	16.883390918	271	354
1	90	307.5	309.744444444	19.4059332915	253	353
2	90	315.5	313.811111111	18.9126027614	253	365
3	90	311.5	310.0	18.3102885468	251	349
4	90	312.5	312.111111111	19.1957428408	258	353
6	90	449.5	443.622222222	25.031348247	376	500
7	90	447.5	445.055555556	23.0334834106	389	512
8	90	446.5	440.488888889	25.7273069128	305	483
9	90	442.5	439.5	22.9507927726	382	480
10	90	448.0	441.044444444	24.5953523663	379	485
11	90	449.5	443.044444444	27.3385812487	319	494
12	90	453.5	448.011111111	27.7750865363	377	512
13	90	450.5	445.688888889	26.8397070875	345	495
14	90	454.5	451.011111111	26.0727590683	395	532
15	90	449.0	448.677777778	26.5893996329	383	535
16	90	447.0	449.755555556	25.6585749631	350	518
17	90	453.5	449.733333333	28.6258624324	337	500
18	90	550.0	542.433333333	28.7753945817	468	595
19	90	555.5	546.744444444	30.7110407621	479	609
20	90	539.0	542.066666667	27.8023979781	494	600
21	90	554.0	544.988888889	30.2561268155	474	603
22	90	557.0	548.622222222	32.7378740156	473	609
