# src_core	dest_core	cost	stderr
0	0	-1	0
1	0	288.873015873	23.603532197
2	0	303.19047619	10.0235550245
3	0	273.26984127	23.6214903157
4	0	292.063492063	10.5557823105
5	0	304.888888889	11.9205186729
6	0	301.428571429	20.858338735
7	0	314.349206349	23.0114938363
8	0	308.444444444	20.8629524899
9	0	295.174603175	8.65666030867
10	0	304.666666667	23.2870288849
11	0	291.857142857	11.3680939515
12	0	312.507936508	23.1461011945
13	0	310.238095238	23.5680132206
14	0	312.031746032	23.4824948338
15	0	309.063492063	27.8584135739
16	0	304.333333333	25.2888079894
17	0	316.714285714	21.1970562283
18	0	312.841269841	21.4425821334
19	0	314.111111111	19.2123564002
20	0	311.285714286	18.5099103198
21	0	312.968253968	20.1305014202
22	0	309.777777778	19.2695536183
23	0	313.857142857	20.5324807668
24	0	299.079365079	11.8820948227
25	0	298.857142857	15.0046100248
26	0	293.301587302	9.46779825671
27	0	301.873015873	11.0589934148
28	0	300.142857143	23.7425725347
29	0	298.238095238	24.9238295395
30	0	304.73015873	16.3048404043
31	0	298.825396825	17.5712063191
32	0	299.396825397	8.06627248651
33	0	308.380952381	19.435222951
34	0	304.746031746	11.5180579464
35	0	306.587301587	18.462002953
36	0	306.523809524	26.4334186889
37	0	307.079365079	23.6302883305
38	0	309.841269841	21.9835482131
39	0	304.396825397	27.0387961614
40	0	306.984126984	25.4711115938
41	0	309.111111111	26.0018992659
42	0	313.333333333	18.5172592164
43	0	319.26984127	22.5206828037
44	0	314.888888889	21.1067664702
45	0	314.587301587	19.6821044499
46	0	312.952380952	21.3997690029
47	0	317.095238095	24.2982227358
0	1	282.333333333	21.3422600371
1	1	-1	0
2	1	303.968253968	10.5544217078
3	1	273.523809524	13.9282254739
4	1	300.238095238	23.0614873663
5	1	299.873015873	13.2957709752
6	1	311.682539683	20.8172893626
7	1	310.301587302	25.5396578768
8	1	308.412698413	24.6709358729
9	1	294.174603175	14.3996689584
10	1	306.825396825	21.9483807716
11	1	296.571428571	14.07318094
12	1	309.047619048	28.3467355257
13	1	312.857142857	24.6826570711
14	1	310.80952381	26.3269173274
15	1	309.158730159	28.2950477181
16	1	300.650793651	27.0086163384
17	1	306.174603175	24.701738055
18	1	320.428571429	19.5242740944
19	1	311.206349206	20.2971252403
20	1	313.73015873	20.9589215381
21	1	315.746031746	19.6589720653
22	1	316.523809524	17.2192741241
23	1	315.174603175	22.138481675
24	1	299.873015873	9.34606625252
25	1	297.015873016	11.1319532414
26	1	303.476190476	6.67346592052
27	1	297.126984127	12.3628887356
