# src_core	dest_core	cost	stderr
0	0	-1	0
1	0	297.0	26.1624958763
2	0	298.603174603	25.8865287529
3	0	301.507936508	25.7551801021
4	0	305.80952381	24.4162690641
5	0	296.031746032	22.4017914915
6	0	315.285714286	21.2165169047
7	0	313.444444444	21.0341957244
8	0	313.476190476	23.4621323696
9	0	317.111111111	13.9467366737
10	0	314.650793651	22.7087555523
11	0	316.619047619	11.1061667003
12	0	311.603174603	25.4499444491
13	0	313.285714286	17.352945472
14	0	316.206349206	16.4356935716
15	0	314.825396825	8.60885421379
16	0	308.571428571	25.8596420786
17	0	315.857142857	18.8989435691
18	0	314.714285714	20.4228541228
19	0	305.523809524	15.9621150117
20	0	316.015873016	20.9379218989
21	0	318.634920635	20.3752897241
22	0	298.380952381	20.899174869
23	0	314.825396825	18.7418042893
24	0	307.603174603	21.5174640644
25	0	298.603174603	25.2105669975
26	0	303.26984127	22.9811560827
27	0	313.095238095	20.4921311152
28	0	304.920634921	23.480016216
29	0	306.555555556	22.5478523088
30	0	304.444444444	15.73972608
31	0	314.095238095	20.9426384276
32	0	310.555555556	21.2608723094
33	0	312.761904762	23.7096954823
34	0	312.126984127	20.4485355268
35	0	308.619047619	19.7045064312
36	0	309.936507937	25.5900979212
37	0	316.031746032	17.6589994629
38	0	314.412698413	20.0789196262
39	0	299.952380952	22.1792327944
40	0	310.063492063	23.0381829474
41	0	302.238095238	21.2272019896
42	0	310.063492063	21.1419037871
43	0	313.968253968	21.9754323532
44	0	311.555555556	19.3109704636
45	0	315.301587302	22.425633661
46	0	319.079365079	24.4782388536
47	0	318.333333333	14.7959668464
0	1	297.142857143	29.0860011836
1	1	-1	0
2	1	297.0	8.22693987352
3	1	285.063492063	12.0999449243
4	1	300.523809524	10.5527505522
5	1	296.523809524	11.2854128953
6	1	307.904761905	20.1097893604
7	1	313.365079365	21.6826326429
8	1	310.126984127	25.5706255478
9	1	316.619047619	18.6653303701
10	1	310.349206349	13.4059436358
11	1	311.857142857	16.6150220257
12	1	317.412698413	21.4266077877
13	1	305.793650794	23.4805956565
14	1	307.063492063	20.6481276417
15	1	296.587301587	13.7478828623
16	1	312.126984127	22.6130262105
17	1	310.126984127	23.8264172872
18	1	314.952380952	21.0241196116
19	1	312.126984127	18.1532209425
20	1	313.841269841	16.0556634415
21	1	312.047619048	22.3354146659
22	1	297.888888889	20.5990530766
23	1	315.571428571	19.9441396777
24	1	304.904761905	22.1550913463
25	1	300.714285714	25.3836771521
26	1	310.73015873	24.13402153
27	1	314.857142857	23.8446407694
28	1	296.603174603	23.2983000147
29	1	306.0	26.8582404369
30	1	312.46031746	19.6822580625
31	1	309.984126984	18.855753249
32	1	303.396825397	17.0987233187
33	1	306.793650794	20.3923100431
34	1	316.825396825	20.4726218128
35	1	309.650793651	19.7742487106
36	1	308.888888889	24.1050025178
37	1	309.761904762	22.9400282903
