# core	nvalues	median	mean	stddev	min	max
1	90	263.0	268.611111111	27.3799173947	232	392
2	90	269.0	279.022222222	31.9645559879	232	392
3	90	263.0	266.9	48.1816124448	4	364
4	90	258.5	263.455555556	35.3547611476	5	341
5	90	269.0	282.166666667	37.7839619121	238	413
6	90	286.0	288.088888889	10.4505655822	268	320
7	90	288.5	290.588888889	10.7805322941	274	328
8	90	287.0	287.855555556	8.70703561126	268	312
9	90	291.5	290.311111111	34.6280696816	5	374
10	90	288.0	289.677777778	9.73633261755	274	318
11	90	287.0	287.1	33.7691673967	7	394
12	90	274.0	278.166666667	56.7736734764	4	478
13	90	274.0	281.588888889	35.1608666447	238	439
14	90	269.0	280.111111111	37.2998196136	234	486
15	90	269.0	277.422222222	27.6325000991	240	380
16	90	269.0	276.922222222	30.0729586091	238	376
17	90	263.5	276.777777778	35.760865568	239	418
18	90	292.0	297.533333333	17.9692329645	275	350
19	90	293.5	300.355555556	27.9631945048	275	454
20	90	292.0	294.444444444	13.9850007835	275	343
21	90	293.0	295.522222222	14.9303775183	275	347
22	90	292.0	296.833333333	19.168985367	275	373
23	90	294.0	297.888888889	15.9411727189	274	344
24	90	304.0	302.266666667	59.7282363897	4	438
25	90	304.0	301.9	59.0850704963	5	377
26	90	306.0	312.977777778	19.558446756	286	378
27	90	305.5	304.144444444	62.2686939554	4	498
28	90	304.5	310.7	17.0100950419	292	368
29	90	310.0	315.266666667	20.6401981041	292	370
30	90	273.5	279.344444444	70.0636474312	5	588
31	90	275.0	282.422222222	31.9113277616	245	422
32	90	275.0	288.911111111	55.3567509573	4	481
33	90	278.5	293.055555556	56.2234354283	5	506
34	90	275.0	288.4	39.4821478646	245	454
35	90	273.0	280.322222222	30.5311599582	244	416
36	90	269.0	283.988888889	57.15680079	5	493
37	90	269.0	276.077777778	31.9865345898	238	402
38	90	288.0	291.766666667	38.3185623715	4	429
39	90	288.0	297.022222222	24.0610232431	274	392
40	90	287.0	289.566666667	12.33878258	275	348
41	90	288.0	291.555555556	14.0547430595	268	351
42	90	287.0	290.955555556	14.6279117604	274	358
43	90	287.0	278.177777778	69.844363135	4	415
44	90	275.5	291.322222222	43.7370495824	239	467
45	90	274.5	285.388888889	42.3896461269	238	514
46	90	281.0	292.4	40.2900042746	238	437
47	90	275.0	283.0	39.8234994835	244	471
0	90	287.0	303.377777778	55.3657691635	236	534
2	90	281.0	295.466666667	40.4835220251	243	429
3	90	275.0	290.9	42.2513773608	238	413
4	90	281.5	300.188888889	65.2485665137	5	573
5	90	277.5	304.011111111	75.963075013	239	836
6	90	292.0	290.177777778	10.0935378422	269	319
7	90	292.0	291.166666667	9.65315147158	274	322
8	90	291.0	289.966666667	9.28852338462	268	311
9	90	292.0	283.311111111	52.595235197	4	325
10	90	288.5	292.222222222	13.0407717715	274	342
11	90	292.0	293.355555556	12.0787334795	274	323
12	90	297.5	305.111111111	47.3411834909	239	441
13	90	275.0	296.111111111	59.0271960756	11	453
