# src_core	dest_core	cost	stderr
0	0	-1	0
1	0	245.19047619	31.6803765524
2	0	249.698412698	32.5803694526
3	0	250.031746032	32.7719238402
4	0	246.317460317	31.3661557556
5	0	251.063492063	33.0458426249
6	0	288.571428571	7.61517758855
7	0	288.666666667	7.63450812336
8	0	295.317460317	9.82356317993
9	0	288.904761905	7.6836546482
10	0	286.698412698	7.93752374452
11	0	287.857142857	7.89787422244
12	0	280.825396825	9.27796447733
13	0	298.317460317	12.5847292153
14	0	288.507936508	9.58151828091
15	0	291.412698413	11.0864351845
16	0	294.412698413	11.0246979884
17	0	292.333333333	11.5318743916
18	0	305.746031746	11.9747992712
19	0	308.317460317	13.8263899922
20	0	310.619047619	12.8154526906
21	0	306.920634921	13.7023941684
22	0	308.952380952	14.2176154671
23	0	302.301587302	41.2636259056
24	0	259.634920635	10.2883839373
25	0	251.428571429	8.07251713407
26	0	245.93442623	30.7927332563
27	0	251.206349206	32.5504047375
28	0	252.825396825	8.53850230825
29	0	256.015873016	8.97349193855
30	0	334.761904762	10.833097852
31	0	351.904761905	19.9417519137
32	0	328.396825397	6.31837753571
33	0	336.873015873	9.6633689999
34	0	336.571428571	14.1171001628
35	0	343.349206349	14.0194408445
36	0	297.063492063	12.8345676783
37	0	289.968253968	10.8612727688
38	0	296.079365079	12.6457240245
39	0	305.253968254	13.2903691756
40	0	295.174603175	39.3226537893
41	0	295.888888889	11.1456605708
42	0	336.571428571	14.4614586694
43	0	351.698412698	16.4997690418
44	0	345.412698413	17.4670982504
45	0	345.238095238	12.4054702293
46	0	335.238095238	11.1208574034
47	0	340.253968254	45.0456446652
0	1	254.476190476	9.9104836953
1	1	-1	0
2	1	252.285714286	9.04210358203
3	1	252.698412698	9.55125674542
4	1	250.650793651	6.86180764318
5	1	251.333333333	8.05339325112
6	1	288.19047619	7.32436062079
7	1	288.079365079	8.30624471011
8	1	295.682539683	10.2397070221
9	1	290.079365079	7.83217131665
10	1	287.396825397	9.00183346852
11	1	289.222222222	9.04739626571
12	1	281.047619048	8.20458364232
13	1	296.253968254	13.06147644
14	1	283.571428571	6.5337081664
15	1	287.174603175	7.86702921388
16	1	291.46031746	10.6916751428
17	1	289.904761905	9.73899751321
18	1	305.142857143	12.5809848239
19	1	303.984126984	12.5223508918
20	1	309.396825397	12.9216683803
21	1	311.222222222	14.1325296767
22	1	308.396825397	12.5414103692
23	1	302.19047619	9.49328441476
24	1	263.888888889	12.9787507789
25	1	253.507936508	7.3934183856
26	1	250.317460317	6.39400859641
27	1	254.492063492	8.18607609137
28	1	253.73015873	7.42198867204
29	1	255.746031746	7.64067697069
