# core	RTT	RTT stderr	server time	server time stderr
1	640.183333333	102.010450173	397.351111111	120.34353165
2	646.731111111	106.281611919	379.668888889	94.1797060523
3	817.203333333	132.625470111	392.432222222	99.6227710781
4	825.008888889	139.590806482	398.537777778	130.807049231
5	794.355555556	106.074796578	405.577777778	137.642675696
6	791.752222222	100.43251878	375.484444444	98.3305015537
7	806.705555556	95.9480008026	381.874444444	93.1875934293
8	804.598888889	99.4964443747	386.94	88.7853513944
9	806.024444444	95.197370775	389.677777778	91.1776565927
10	802.991111111	92.0978822829	389.0	89.936421988
11	943.536666667	113.957807933	395.385555556	86.1389911211
12	938.386666667	119.368651384	379.395555556	111.10920145
13	944.14	105.343893774	385.935555556	117.391293744
14	938.25	107.703382543	374.927777778	102.82906153
15	984.106666667	84.6555357513	384.09	105.681227756
16	980.731111111	87.7493458595	419.036666667	78.1918991968
17	978.591111111	84.8597504965	420.806666667	81.57172958
18	991.143333333	82.3106750873	419.015555556	78.6193910363
19	1338.01777778	154.1643413	425.196666667	77.1177468406
20	1265.98444444	112.764414118	464.138888889	172.631108433
21	1344.00777778	156.475759378	404.264444444	112.018565238
22	1285.33111111	121.746965871	470.681111111	175.731687773
23	1119.00444444	94.9617699815	418.923248053	125.058685686
24	1120.63	98.1269007742	402.256666667	87.9696141353
25	1122.41	100.46651023	404.288888889	91.0588508657
26	1116.17555556	88.8015907154	406.465555556	93.4687347145
27	1187.93111111	165.534043927	407.127777778	82.3908456724
28	1188.49333333	167.48488144	479.32	173.098083435
29	1196.68333333	169.417166748	481.594444444	173.546794753
30	1155.34555556	149.747986565	478.535555556	173.727065192
