# core	RTT	RTT stderr	server time	server time stderr
1	515.665555556	28.1553691785	264.202222222	22.5315382805
2	516.778888889	35.5864674481	263.684444444	21.633214746
3	774.038888889	72.684735054	273.013333333	31.0819318719
4	766.015555556	62.5093751388	291.125555556	86.8151728432
5	778.277777778	80.6113898456	282.774444444	73.0015008386
6	763.702222222	56.4768211605	297.552222222	95.5498738039
7	762.517777778	44.4510556749	289.693333333	67.6603885429
8	760.893333333	31.9250469416	273.756666667	30.6308071138
9	759.59	28.1938470435	272.392222222	27.7468425742
10	760.505555556	30.2467807694	271.598888889	22.7530754671
11	951.031111111	67.9661282379	282.557777778	26.370269361
12	955.65	70.9052164669	304.628888889	60.1895344252
13	953.923333333	73.3903241427	307.124444444	68.1559980423
14	953.968888889	71.1898333011	306.68	67.8036695172
