# core	receive	receive stderr
1	103.785555556	55.118232638
2	103.107777778	52.2948748876
3	245.388888889	32.6351870241
4	244.638888889	31.5409370482
5	244.255555556	30.8140880879
6	244.128888889	31.6481182324
7	267.514444444	32.9056363328
8	266.151111111	31.2441896623
9	273.073333333	29.2136033762
10	264.735555556	29.7214300206
11	395.285555556	22.3846577474
12	394.328888889	20.5003698853
13	395.181111111	21.5266625087
14	394.312222222	22.1354232336
15	452.06	15.9259662187
16	450.557777778	16.3029648141
17	461.678888889	19.3455765512
18	463.38	22.0324013923
19	682.466666667	30.2578180898
20	685.235555556	29.9917407561
21	670.635555556	21.6495435472
22	690.187777778	28.354095639
23	580.191111111	15.2478460733
24	582.113333333	15.7665059893
25	582.885555556	16.7224802859
26	583.1	16.4329952636
27	592.668888889	20.0515815084
28	594.096666667	17.423629868
29	578.304444444	31.749725847
30	592.185555556	14.96744661
