# core	send	send stderr
1	356.515555556	8.08117031006
2	356.877777778	11.2768472523
3	354.401111111	7.85339267726
4	355.568888889	11.0701163744
5	355.051111111	9.22639022279
6	356.785555556	12.8453888061
7	354.752222222	8.95567762531
8	354.755555556	8.92376491437
9	354.84	8.26699999328
10	354.427777778	7.33911178062
11	357.11	8.72532138854
12	356.471111111	8.35611877534
13	355.74	10.5619421615
14	357.123333333	9.81808478721
15	354.816666667	7.213471194
16	356.641111111	12.689325299
17	357.992222222	9.4789207986
18	354.824444444	7.18271553586
19	363.594444444	8.5505667273
20	362.172222222	7.66813794256
21	362.966666667	8.32286008533
22	361.563333333	6.67893787298
23	354.486666667	9.06475715186
24	353.348888889	8.25647549832
25	354.49	8.04617990795
26	353.731111111	8.78641178746
27	355.532222222	13.1502456908
28	353.444444444	8.35651590226
29	353.268888889	8.12205015778
30	353.734444444	7.99427101966
